state,region,revenue,profit,margin,orders
California,West,457687.6315,76381.38709999999,0.16688540795754492,1021
New York,East,310876.271,74038.5486,0.23816082315269405,562
Texas,Central,170188.0458,-25729.35630000001,-0.15118192455324622,487
Washington,West,138641.27,33402.651699999995,0.24092863329944972,256
Pennsylvania,East,116511.914,-15559.960300000004,-0.13354823353086454,288
Florida,South,89473.708,-3399.3017000000036,-0.037992185369136636,200
Illinois,Central,80166.101,-12607.887000000004,-0.15727204944144665,276
Ohio,East,78258.136,-16971.376600000003,-0.21686405359820995,236
Michigan,Central,76269.614,24463.187599999997,0.32074618340142635,117
Virginia,South,70636.72,18597.950399999998,0.2632901187937378,115
North Carolina,South,55603.164000000004,-7490.912200000001,-0.13472097019514934,136
Indiana,Central,53555.36,18382.936299999998,0.3432511012903283,73
Georgia,South,49095.84,16250.0433,0.33098615483511434,91
Kentucky,South,36591.75,11199.6966,0.30607163090040784,61
New Jersey,East,35764.312,9772.9138,0.2732588229294052,61
Arizona,West,35282.001000000004,-3427.924600000001,-0.09715788512108485,108
Wisconsin,Central,32114.61,8401.8004,0.2616192567806366,53
Colorado,West,32108.118000000002,-6527.857900000002,-0.20330864300423965,79
Tennessee,South,30661.873000000003,-5341.6936,-0.1742128929958062,91
Minnesota,Central,29863.15,10823.1874,0.36242618076123917,44
Massachusetts,East,28634.434,6785.5016,0.2369699921430261,62
Delaware,East,27451.069,9977.3748,0.3634603373733824,44
Maryland,East,23705.523,7031.1788,0.2966050907208417,46
Rhode Island,East,22627.956,7285.6293,0.32197469802398415,25
Missouri,Central,22205.15,6436.2105,0.28985215141532483,30
Oklahoma,Central,19683.39,4853.955999999999,0.24660162705712782,34
Alabama,South,19510.64,5786.8253,0.296598435520311,34
Oregon,West,17431.15,-1190.4705,-0.06829558003918272,56
Nevada,West,16729.102000000003,3316.7658999999994,0.19826323612588403,23
Connecticut,East,13384.357,3511.4918000000002,0.26235790034590384,45
Arkansas,South,11678.13,4008.6870999999996,0.34326446956832984,27
Alberta,West,11460.186,2236.1578,0.19512404074419037,8
Utah,West,11220.056,2546.5334999999995,0.22696263726312949,26
Mississippi,South,10771.34,3172.9762,0.29457580950930895,26
Louisiana,South,9217.03,2196.1023,0.2382657211704855,21
Vermont,East,8929.369999999999,2244.9782999999998,0.25141508303497334,6
South Carolina,South,8481.71,1769.0566,0.2085731061307213,20
Nebraska,Central,7464.929999999999,2037.0941999999998,0.27288858703296615,23
New Hampshire,East,7292.523999999999,1706.5028,0.23400715582149612,17
Ontario,East,7009.012,1880.3966,0.2682826909127849,17
Montana,West,5589.352,1833.3284999999998,0.32800376501605194,8
New Mexico,West,4783.522,1157.1161,0.24189626388255347,22
Iowa,Central,4579.76,1183.8119,0.25848775918388733,17
Idaho,West,4382.486,826.7230999999999,0.18864249651909898,11
Quebec,East,3826.96,1090.9383,0.28506655413173904,35
Kansas,Central,2914.31,836.4435,0.28701253469946575,14
District of Columbia,East,2865.02,1059.5893,0.36983661545120106,4
British Columbia,West,2763.2000000000003,115.67029999999988,0.041860994499131395,14
Manitoba,Central,1930.7820000000002,158.94449999999995,0.08232130815389824,4
Wyoming,West,1603.1360000000002,100.19599999999997,0.06249999999999997,1
South Dakota,Central,1315.56,394.82830000000007,0.30012184925050933,5
Maine,East,1270.53,454.48619999999994,0.3577138674411466,3
West Virginia,East,1209.8239999999998,185.9216,0.153676567831354,2
Prince Edward Island,East,1087.916,329.353,0.302737527529699,4
North Dakota,Central,919.91,230.14969999999997,0.25018719222532637,2
Newfoundland and Labrador,East,515.2,186.676,0.3623369565217391,5
Nova Scotia,East,382.144,-52.742000000000004,-0.13801603583989283,6
New Brunswick,East,225.69600000000003,-74.1416,-0.3285020558627534,7
Saskatchewan,West,132.398,28.539999999999996,0.2155621686128189,2
