category,sub_category,revenue,profit,margin,orders,avg_discount,pct_profitable
Technology,Copiers,150745.29,56093.936499999996,0.3721107074058499,70,0.15714285714285714,1
Technology,Phones,331842.64,45050.826499999996,0.13575960732472472,903,0.15260243632336656,0.8471760797342193
Technology,Accessories,167380.318,41936.6357,0.2505469950176579,775,0.07845161290322582,0.8812903225806452
Office Supplies,Paper,79540.538,34511.507,0.4338857627540814,1384,0.075,0.9992774566473989
Office Supplies,Binders,207354.881,31426.10029999999,0.1515570800573534,1548,0.3690568475452196,0.6001291989664083
Furniture,Chairs,335768.249,27223.53229999999,0.08107834013811113,634,0.1692429022082019,0.5930599369085173
Office Supplies,Storage,224644.554,21285.111499999995,0.0947501780969059,856,0.07511682242990654,0.7815420560747663
Office Supplies,Appliances,108213.185,18329.484399999994,0.16938309689341455,474,0.16455696202531647,0.8586497890295358
Furniture,Furnishings,95598.126,13891.742999999999,0.14531396776543504,1009,0.13805748265609513,0.8146679881070367
Office Supplies,Envelopes,16528.362,6988.024699999999,0.42278991106317726,256,0.07968750000000001,1
Office Supplies,Art,27659.014,6653.196199999999,0.2405435059977192,821,0.07503045066991475,0.9987819732034104
Office Supplies,Labels,12695.042,5572.778,0.4389727895346861,368,0.07092391304347827,0.9945652173913043
Technology,Machines,189925.03100000002,3461.976899999988,0.01822812339043392,117,0.30427350427350425,0.6239316239316239
Office Supplies,Fasteners,8532.24,2428.6358,0.28464222759791097,229,0.07860262008733625,0.925764192139738
Office Supplies,Supplies,46725.498,-1171.3945000000008,-0.02506970605214311,192,0.07604166666666667,0.828125
Furniture,Bookcases,115361.2043,-3632.073600000003,-0.03148435925265391,232,0.21525862068965518,0.5129310344827587
Furniture,Tables,208020.182,-17753.206100000007,-0.08534367160586373,326,0.25812883435582823,0.36503067484662577
